Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
4,322,110,3,3.5,2.5,8.67,1,0.8
19,318,110,3,4.0,3.0,8.8,0,0.63
203,340,120,5,4.5,4.5,9.91,1,0.97
251,320,104,3,3.0,2.5,8.57,1,0.74
275,315,100,1,2.0,2.5,7.95,0,0.58
64,315,107,2,4.0,3.0,8.5,1,0.56
249,324,110,3,3.5,4.0,8.87,1,0.8
302,319,108,2,2.5,3.0,8.76,0,0.66
109,331,116,5,5.0,5.0,9.38,1,0.93
91,318,106,2,4.0,4.0,7.92,1,0.64
234,304,100,2,2.5,3.5,8.07,0,0.64
336,325,111,4,4.0,4.5,9.11,1,0.83
119,296,99,2,3.0,3.5,7.28,0,0.47
221,313,103,3,4.0,4.0,8.75,0,0.76
181,300,104,3,3.5,3.0,8.16,0,0.71
315,305,105,2,3.0,4.0,8.13,0,0.66
374,321,109,3,3.0,3.0,8.54,1,0.79
381,322,104,3,3.5,4.0,8.84,1,0.78
240,299,100,1,1.5,2.0,7.89,0,0.59
76,329,114,2,2.0,4.0,8.56,1,0.72
248,311,104,2,2.5,3.5,8.48,0,0.71
111,305,108,5,3.0,3.0,8.48,0,0.61
17,317,107,3,4.0,3.0,8.7,0,0.66
67,327,114,3,3.0,3.0,9.02,0,0.61
154,324,105,3,3.0,4.0,8.75,0,0.79
8,308,101,2,3.0,4.0,7.9,0,0.68
20,303,102,3,3.5,3.0,8.5,0,0.62
138,316,100,2,1.5,3.0,8.16,1,0.71
356,317,106,2,2.0,3.5,8.12,0,0.73
350,313,101,3,2.5,3.0,8.04,0,0.62
132,303,105,5,5.0,4.5,8.65,0,0.77
388,307,105,2,2.0,3.5,8.1,0,0.53
293,302,99,2,1.0,2.0,7.97,0,0.56
387,302,101,2,2.5,3.5,7.96,0,0.46
298,320,120,3,4.0,4.5,9.11,0,0.86
61,309,100,2,3.0,3.0,8.1,0,0.48
80,294,93,1,1.5,2.0,7.36,0,0.46
